iter	Passed	Remaining
727	4377	1635
728	4382	1629
729	4397	1626
730	4400	1619
731	4403	1612
732	4405	1604
733	4406	1597
734	4408	1589
735	4410	1581
736	4411	1574
737	4414	1567
738	4424	1562
739	4429	1556
740	4432	1549
741	4434	1541
742	4436	1534
743	4437	1526
744	4439	1519
745	4440	1511
746	4442	1504
747	4443	1497
748	4456	1493
749	4458	1486
750	4461	1479
751	4464	1472
752	4467	1465
753	4471	1459
754	4484	1455
755	4495	1451
756	4500	1444
757	4510	1440
758	4516	1434
759	4520	1427
760	4523	1420
761	4524	1413
762	4527	1406
763	4529	1399
764	4532	1392
765	4545	1388
766	4555	1383
767	4557	1376
768	4560	1370
769	4562	1362
770	4565	1355
771	4575	1351
772	4586	1346
773	4596	1342
774	4604	1336
775	4609	1330
776	4612	1323
777	4615	1317
778	4618	1310
779	4621	1303
780	4624	1296
781	4634	1291
782	4638	1285
783	4641	1278
784	4642	1271
785	4645	1264
786	4650	1258
787	4669	1256
788	4674	1250
789	4677	1243
790	4681	1236
791	4689	1231
792	4691	1224
793	4693	1217
794	4695	1210
795	4697	1203
796	4702	1197
797	4706	1191
798	4708	1184
799	4711	1177
800	4718	1172
801	4721	1165
802	4723	1158
803	4725	1152
804	4727	1145
805	4732	1139
806	4737	1132
807	4738	1126
808	4740	1119
809	4742	1112
810	4750	1107
811	4757	1101
812	4763	1095
813	4766	1089
814	4767	1082
815	4770	1075
816	4773	1069
817	4775	1062
818	4781	1056
819	4787	1050
820	4794	1045
821	4810	1041
822	4817	1036
823	4819	1029
824	4823	1023
825	4824	1016
826	4826	1009
827	4828	1003
828	4838	998
829	4843	992
830	4848	986
831	4853	980
832	4857	973
833	4869	969
834	4872	962
835	4880	957
836	4884	951
837	4904	948
838	4919	943
839	4923	937
840	4928	931
841	4941	927
842	4952	922
843	4956	916
844	4958	909
845	4962	903
846	4976	898
847	4988	894
848	4990	887
849	4993	881
850	4996	874
851	4998	868
852	5008	863
853	5018	857
854	5023	851
855	5027	845
856	5029	839
857	5032	832
858	5050	828
859	5052	822
860	5055	816
861	5067	811
862	5079	806
863	5095	802
864	5101	796
865	5107	790
866	5110	784
867	5115	777
868	5128	773
869	5132	766
870	5153	763
871	5157	757
872	5160	750
873	5177	746
874	5181	740
875	5183	733
876	5186	727
877	5191	721
878	5196	715
879	5208	710
880	5214	704
881	5242	701
882	5246	695
883	5248	688
884	5250	682
885	5252	675
886	5256	669
887	5267	664
888	5273	658
889	5276	652
890	5278	645
891	5292	640
892	5305	635
893	5309	629
894	5314	623
895	5333	619
896	5337	612
897	5339	606
898	5345	600
899	5351	594
900	5352	588
901	5354	581
902	5356	575
903	5358	568
904	5361	562
905	5373	557
906	5379	551
907	5381	545
908	5383	538
909	5385	532
910	5387	526
911	5389	520
912	5391	513
913	5404	508
914	5407	502
915	5410	496
916	5412	489
917	5414	483
918	5417	477
919	5431	472
920	5434	466
921	5438	460
922	5439	453
923	5447	448
924	5450	441
925	5458	436
926	5461	430
927	5463	423
928	5465	417
929	5468	411
930	5471	405
931	5473	399
932	5476	393
933	5494	388
934	5502	382
935	5504	376
936	5506	370
937	5508	364
938	5511	358
939	5516	352
940	5520	346
941	5521	339
942	5523	333
943	5525	327
944	5528	321
945	5532	315
946	5538	309
947	5553	304
948	5556	298
949	5560	292
950	5563	286
951	5565	280
952	5566	274
953	5569	268
954	5570	262
955	5578	256
956	5580	250
957	5583	244
958	5586	238
959	5589	232
960	5591	226
961	5593	220
962	5605	215
